,answer_id,date_sent,last_page,start_lang,random_value,sat_edu_sucess,faculty,faculty_other,edu_level,edu_level_other,semester_n,uebung_helpful,uebung_required,materials_helpfull,uebung_required_postpone,effective_learning,kurzscript_usage,fullscript_usage,notes_usage,videos_lecture_usage,uebeung_sols_usage,books_usage,old_exams_usage,videos_online_usage,ai_usage,material_understanding,materials_orga,materials_complicated,materials_ontime,materials_workload,materials_help,materials_safety,materials_motivation,materials_independent_learning,materials_learning_stress,materials_timewaste,materials_safety_exam,feedback
100,113,1980-01-01 00:00:00,6.0,de,882887968,4.0,Sonstiges,Erziehungswissenschaften,Bachelor,,7.0,1.0,4.0,2.0,5.0,4.0,1.0,3.0,3.0,1.0,5.0,2.0,5.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,War gut und angemessen. Schön kurz aber dich bereit gefächert
101,114,1980-01-01 00:00:00,6.0,de,1598567221,5.0,Statistik,,Bachelor,,3.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,1.0,2.0,5.0,1.0,5.0,3.0,3.0,,3.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,
102,115,1980-01-01 00:00:00,6.0,de,1952981541,4.0,Informatik,,Bachelor,,3.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,5.0,4.0,
103,116,1980-01-01 00:00:00,6.0,de,1386100003,5.0,Statistik,,Bachelor,,7.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,2.0,5.0,4.0,1.0,4.0,2.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,
104,117,,,de,422515667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,118,,,de,1074191594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,119,,1.0,de,889356847,3.0,Physik,,Bachelor,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,120,,,de,520412327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,121,1980-01-01 00:00:00,6.0,de,1623891741,1.0,Sonstiges,Maschinenbau,Master,,2.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,3.0,5.0,1.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,
109,122,1980-01-01 00:00:00,6.0,de,1581942410,2.0,Sonstiges,Wirtschafts- und Sozialwissenschaften,Master,,3.0,4.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,1.0,4.0,4.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,1.0,4.0,2.0,4.0,2.0,"""Eigene Lernmaterialien"" fehlen. Ich schneide einige Vorlesungen per Audiorekorder mit. 
Außerdem ist mir der Begriff ""Kurzskript"" nicht bekannt. Sind Vorlesungsfolien gemeint? "
110,123,1980-01-01 00:00:00,6.0,de,1724464310,1.0,Mathematik,,Master,,2.0,5.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,Gute Umfrage 
111,124,1980-01-01 00:00:00,6.0,de,361401068,3.0,Mathematik,,Master,,1.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,5.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,
112,125,1980-01-01 00:00:00,6.0,de,1492532756,3.0,Sonstiges,Wirtschaftswissenschaften,Bachelor,,1.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,5.0,2.0,3.0,2.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,/
113,126,1980-01-01 00:00:00,6.0,de,778594111,1.0,Statistik,,Bachelor,,7.0,4.0,2.0,5.0,3.0,5.0,,5.0,5.0,,5.0,1.0,4.0,3.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,
114,127,1980-01-01 00:00:00,6.0,de,479630366,2.0,Statistik,,Bachelor,,1.0,,4.0,2.0,5.0,5.0,4.0,5.0,2.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,1.0,2.0,3.0,3.0,4.0,
115,128,1980-01-01 00:00:00,6.0,de,1831894861,4.0,Statistik,,Bachelor,,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,4.0,
116,129,1980-01-01 00:00:00,6.0,de,834867972,2.0,Sonstiges,Economics ,Bachelor,,3.0,2.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0,5.0,5.0,2.0,3.0,2.0,5.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,
117,130,,3.0,de,1431043747,4.0,Informatik,,Bachelor,,3.0,5.0,5.0,5.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,5.0,2.0,5.0,,,,,,,,,,,,,
118,131,,,de,1757850083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,132,1980-01-01 00:00:00,6.0,de,2028757693,4.0,Physik,,Bachelor,,3.0,5.0,5.0,4.0,5.0,5.0,,3.0,4.0,,5.0,3.0,3.0,,1.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,
120,133,,,de,2055496500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,134,1980-01-01 00:00:00,6.0,de,996971445,4.0,Sonstiges,Chemische Biologie ,Bachelor,,7.0,4.0,2.0,3.0,5.0,4.0,2.0,4.0,1.0,2.0,3.0,1.0,5.0,2.0,3.0,1.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,5.0,3.0,"Die Fragen sind präzise und verständlich formuliert, möge die Macht mit euch sein "
122,135,,0.0,de,2084905687,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
123,136,,-1.0,de,1958747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,137,,1.0,de,1307665089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,138,,4.0,de,2076784702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,139,1980-01-01 00:00:00,6.0,de,1433482819,2.0,Sonstiges,Bauwesen ,Bachelor,,7.0,5.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,
127,140,,1.0,de,985350576,2.0,Sonstiges,Maschinenbau,Master,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
