"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","Wie zufrieden sind Sie mit ihrem aktuellen Lernerfolg?","Welcher Fakultät gehört Ihr Studiengang an?","Welcher Fakultät gehört Ihr Studiengang an? [Sonstiges]","Welchen Abschluss erhalten Sie in Ihrem aktuellen Studiengang?","Welchen Abschluss erhalten Sie in Ihrem aktuellen Studiengang? [Sonstiges]","Im wievielten Fachsemester studieren Sie?","Wählen Sie bitte die passende Aussage aus. [Ich empfinde die wöchentlichen Übungsaufgaben als hilfreich.]","Wählen Sie bitte die passende Aussage aus. [Wenn Übungsaufgaben verpflichtend sind, hilft es mir am Ball zu bleiben.]","Wählen Sie bitte die passende Aussage aus. [Normalerweise finde ich die einem Kurs gestellten Materialien ausreichend und hilfreich.]","Wählen Sie bitte die passende Aussage aus. [Wenn ein Kurs keine Verpflichtungen oder Fristen vorgibt, schiebe ich vieles auf.]","Wählen Sie bitte die passende Aussage aus. [Effizientes Lernen in der Prüfungsvorbereitung ist mir wichtig]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Kurzskript]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Vollständiges Skript]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Mitschriften aus der Vorlesung]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Videoaufzeichnungen der Vorlesung]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Übungsaufgaben mit Musterlösung]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Bücher]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Altklausuren]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Online-Videos (z.B. YouTube)]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [KI-Chatbots (z.B. Chat-GPT, Gemini)]","Die Materialien, die ich benutze... [... fördern Verstehen statt Auswendiglernen.]","Die Materialien, die ich benutze... [... sind klar strukturiert und organisiert.]","Die Materialien, die ich benutze... [... sind nicht unnötig kompliziert dargestellt.]","Die Materialien, die ich benutze... [... stehen rechtzeitig zur Verfügung.]","Die Materialien, die ich benutze... [... erhöhen meine Arbeitsbelastung.]","Die Materialien, die ich benutze... [... erleichtern meinen Lernprozess.]","Die Materialien, die ich benutze... [... geben mir Sicherheit, den Stoff zu schaffen.]","Die Materialien, die ich benutze... [... steigern meine Motivation.]","Die Materialien, die ich benutze... [... unterstützen mein selbstständiges Lernen.]","Die Materialien, die ich benutze... [... reduzieren meinen Prüfungsstress.]","Die Materialien, die ich benutze... [... erhöhen meinen Zeitaufwand.]","Die Materialien, die ich benutze... [... geben mir Sicherheit über Prüfungsrelevanz.]","Feedback zur Umfrage"
"68","1980-01-01 00:00:00","6","de","1271213050","Neutral","Sonstiges","Soziologie","Bachelor","","1","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Oft","Oft","Oft","Manchmal","Immer","Manchmal","Manchmal","Manchmal","Oft","Stimme eher zu","Neutral","Stimme eher nicht zu","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",""
"69","1980-01-01 00:00:00","6","de","2093375848","Neutral","Sonstiges","Erziehungswissenschaften","Bachelor","","1","Neutral","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","","","Immer","Manchmal","Selten","Selten","Manchmal","Oft","Manchmal","Neutral","Stimme eher nicht zu","Neutral","","","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme überhaupt nicht zu","","Stimme eher nicht zu",""
"70","1980-01-01 00:00:00","6","de","192999392","Eher zufrieden","Sonstiges","Erziehungswissenschaft ","Bachelor","","6","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Gar nicht","Selten","Immer","Oft","Immer","Selten","","Manchmal","Manchmal","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Neutral","Stimme eher zu",""
"71","1980-01-01 00:00:00","6","de","308664920","Eher zufrieden","Mathematik","","Bachelor","","3","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Oft","Selten","Immer","Immer","Immer","Selten","Manchmal","Manchmal","Oft","Stimme eher nicht zu","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu",""
"72","1980-01-01 00:00:00","6","de","1785933329","Eher zufrieden","Mathematik","","Master","",,"Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Gar nicht","Immer","Manchmal","Selten","Immer","Manchmal","Immer","Oft","Oft","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme eher zu",""
"73","1980-01-01 00:00:00","6","de","1584720669","Eher zufrieden","Mathematik","","Bachelor","","3","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Selten","Oft","Oft","Oft","Immer","Selten","Immer","Oft","Oft","Stimme eher zu","Neutral","Neutral","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Stimme eher zu",""
"74","1980-01-01 00:00:00","6","de","1055584030","Eher unzufrieden","Mathematik","","Bachelor","","3","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Neutral","Oft","Immer","Immer","Oft","Immer","Selten","Immer","Oft","Gar nicht","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme überhaupt nicht zu","Neutral","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Stimme eher zu",""
"75","1980-01-01 00:00:00","6","de","1753896760","Eher unzufrieden","Sonstiges","Maschinenbau ","Bachelor","","3","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Oft","Manchmal","Manchmal","Oft","Immer","Gar nicht","Immer","Oft","Immer","Neutral","Neutral","Stimme eher nicht zu","Stimme eher zu","Neutral","Stimme eher nicht zu","Neutral","Stimme eher nicht zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher nicht zu",""
"76",,,"de","922163547","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"77","1980-01-01 00:00:00","6","de","586748112","Eher unzufrieden","Sonstiges","Lehramt","Bachelor","","1","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Gar nicht","Gar nicht","Immer","Gar nicht","Oft","Gar nicht","Selten","Oft","Gar nicht","Neutral","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Neutral","Es kommt auf das Fach und die Masse an Materialien an."
"78",,"2","de","379905886","Eher zufrieden","Sonstiges","Erziehungswissenschaften","Bachelor","","5","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","","","","","","","","","","","","","","","","","","","","","",
"79","1980-01-01 00:00:00","6","de","1836798064","Neutral","Mathematik","","Bachelor","","5","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Manchmal","Oft","Oft","Oft","Oft","Selten","Oft","Manchmal","Manchmal","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher nicht zu","Neutral","Neutral","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu",""
"80",,"1","de","1497596287","Eher zufrieden","Mathematik","","Bachelor","","5","","","","","","","","","","","","","","","","","","","","","","","","","","",
"81","1980-01-01 00:00:00","6","de","1361749201","Eher zufrieden","Sonstiges","Erziehungswissenschaften","Bachelor","","5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","1980-01-01 00:00:00","6","de","1149292348","Eher unzufrieden","Sonstiges","Erziehungswissenschaft","Bachelor","","3","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme eher zu","Selten","Selten","Immer","","Manchmal","Selten","Oft","Immer","Manchmal","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Neutral",""
"83","1980-01-01 00:00:00","6","de","106344748","Eher unzufrieden","Sonstiges","Erziehungswissenschaft","Bachelor","","3","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","","Oft","Oft","Immer","Immer","Oft","Immer","Oft","Immer","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Neutral","Neutral","Stimme eher zu","Stimme eher zu","Neutral",""
"84","1980-01-01 00:00:00","6","de","1844819456","Eher zufrieden","Sonstiges","Rehawissenschaften ","Bachelor","","1","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Selten","Manchmal","Oft","Gar nicht","Oft","Selten","Manchmal","Selten","Oft","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher nicht zu","Neutral","/"
"85","1980-01-01 00:00:00","6","de","1520256307","Eher unzufrieden","Statistik","","Bachelor","","3","Stimme eher zu","Neutral","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Manchmal","Oft","Gar nicht","Manchmal","Gar nicht","Selten","Manchmal","Oft","Immer","Stimme voll und ganz zu","Neutral","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme voll und ganz zu","Neutral","Stimme eher nicht zu","Neutral","Tolle Umfrage!"
"86","1980-01-01 00:00:00","6","de","733315715","Eher unzufrieden","Statistik","","Bachelor","","3","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Selten","Manchmal","Manchmal","Gar nicht","Immer","Gar nicht","Immer","Manchmal","Oft","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Neutral","Neutral","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Neutral","Stimme eher zu",""
"87",,"3","de","1592993608","Eher unzufrieden","Physik","","Bachelor","","3","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","","Oft","Manchmal","","Oft","Oft","Oft","Selten","Gar nicht","","","","","","","","","","","","",
"88","1980-01-01 00:00:00","6","de","1170061090","Neutral","Physik","","Bachelor","","3","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","","Oft","Oft","Gar nicht","Selten","Oft","Oft","Manchmal","Selten","Stimme eher zu","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu",""
"89","1980-01-01 00:00:00","6","de","815693190","Eher unzufrieden","Physik","","Bachelor","","3","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","","Oft","Oft","Gar nicht","Oft","Gar nicht","Oft","Manchmal","Gar nicht","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu",""
"90","1980-01-01 00:00:00","6","de","589376036","Eher zufrieden","Physik","","Bachelor","","3","Stimme eher zu","Stimme voll und ganz zu","Neutral","","Stimme voll und ganz zu","Gar nicht","Manchmal","Manchmal","","Immer","Oft","Immer","Selten","Gar nicht","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","","",""
"91","1980-01-01 00:00:00","6","de","1216484452","Eher unzufrieden","Sonstiges","Maschinenbau","Bachelor","","1","Stimme eher zu","Stimme voll und ganz zu","Neutral","Stimme voll und ganz zu","Stimme voll und ganz zu","","Oft","Immer","Oft","Immer","Selten","Selten","Oft","Immer","Stimme eher zu","Neutral","Stimme eher nicht zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Neutral","Stimme eher nicht zu","Neutral","Gute Selbstreflexion "
"92","1980-01-01 00:00:00","6","de","821297425","Eher zufrieden","Sonstiges","maschienenbau","Bachelor","","3","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Immer","Oft","Oft","Manchmal","Immer","Selten","Oft","Manchmal","Immer","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu",""
"93","1980-01-01 00:00:00","6","de","1641440371","Neutral","Sonstiges","Maschinenbau","Bachelor","","3","Stimme voll und ganz zu","Neutral","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","","Oft","Oft","Selten","Immer","Selten","Immer","Manchmal","Immer","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Stimme eher zu","Neutral","Stimme eher zu",""
"94","1980-01-01 00:00:00","6","de","148985319","Sehr unzufrieden","Sonstiges","Maschinenbau","Bachelor","",,"Stimme eher nicht zu","Stimme eher nicht zu","","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Gar nicht","Gar nicht","Immer","Immer","Immer","Gar nicht","Gar nicht","Immer","Immer","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu",""
"95",,"2","de","1470467085","Neutral","Sonstiges","Maschienenbau","Bachelor","","1","Stimme eher zu","Neutral","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","","","","","","","","","","","","","","","","","","","","","",
"96",,"4","de","687967841","Eher unzufrieden","Sonstiges","Maschinenbau ","Bachelor","","5","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Neutral","Stimme eher zu","Selten","Gar nicht","Selten","Oft","Manchmal","Selten","Oft","Selten","Oft","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher nicht zu","Neutral","","","","","","",
"97",,"1","de","198273330","Eher zufrieden","Sonstiges","Maschinenbau ","Bachelor","","5","","","","","","","","","","","","","","","","","","","","","","","","","","",
"98",,,"de","1913943682","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"99",,"4","de","90511228","Eher unzufrieden","Sonstiges","Maschinenbau ","Bachelor","","7","Neutral","Stimme voll und ganz zu","Stimme eher nicht zu","Neutral","Neutral","Manchmal","Manchmal","Oft","Manchmal","Manchmal","Manchmal","Manchmal","Manchmal","Immer","Neutral","Neutral","Neutral","Stimme eher nicht zu","Neutral","Stimme eher zu","","","","","","",
"100",,"2","de","1118921475","Eher unzufrieden","Sonstiges","Maschinenbau ","Bachelor","","7","Neutral","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","","","","","","","","","","","","","","","","","","","","","",
"101","1980-01-01 00:00:00","6","de","1841338722","Eher unzufrieden","Physik","","Bachelor","","3","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","","Manchmal","Gar nicht","","","","Immer","Immer","Immer","Stimme voll und ganz zu","","Stimme eher zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Die Umfrage hat länger als 2 Minuten gedauert"
"102","1980-01-01 00:00:00","6","de","1888283651","Eher unzufrieden","Physik","","Bachelor","","3","Stimme eher zu","Stimme voll und ganz zu","Neutral","Stimme eher zu","Stimme eher zu","Manchmal","Oft","Selten","Gar nicht","Oft","Manchmal","Immer","Oft","Oft","Stimme eher zu","Neutral","Stimme eher nicht zu","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","Neutral","Neutral","Stimme eher zu",""
"103","1980-01-01 00:00:00","6","de","929682097","Eher zufrieden","Physik","","Bachelor","","3","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme voll und ganz zu","","Oft","Selten","Gar nicht","Oft","Selten","Oft","Oft","Immer","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Neutral","Stimme eher nicht zu","Stimme eher zu","","","","","","",""
"104","1980-01-01 00:00:00","6","de","215733916","Neutral","Physik","","Bachelor","","3","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Oft","Immer","Manchmal","Gar nicht","Oft","Gar nicht","Immer","Oft","Immer","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Neutral","Neutral","Stimme voll und ganz zu","Stimme eher zu","Neutral","Stimme eher zu","Neutral","Stimme voll und ganz zu","Stimme eher zu",""
"105","1980-01-01 00:00:00","6","de","269288987","Eher unzufrieden","Sonstiges","Soziologie ","Bachelor","","3","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu","Immer","Selten","Gar nicht","Gar nicht","Immer","Selten","Gar nicht","Manchmal","Immer","Neutral","Stimme voll und ganz zu","Neutral","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Neutral","Stimme eher zu","Neutral",""
"106","1980-01-01 00:00:00","6","de","1350501186","Eher zufrieden","Statistik","","Bachelor","","3","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Manchmal","Manchmal","Gar nicht","Gar nicht","Immer","Gar nicht","Oft","Immer","Immer","","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu","","","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme eher zu",""
"107",,,"de","1745803656","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"108","1980-01-01 00:00:00","6","de","641483712","Neutral","Mathematik","","Master","","6","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Oft","Oft","Immer","Manchmal","Oft","Selten","Oft","Manchmal","Immer","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu",""
"109","1980-01-01 00:00:00","6","de","244584401","Neutral","Sonstiges","lehramt","Bachelor","","6","Stimme eher zu","Stimme eher zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Selten","Oft","Oft","Oft","Immer","Selten","Oft","Manchmal","Immer","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu",""
"110","1980-01-01 00:00:00","6","de","42040850","Eher zufrieden","Sonstiges","BCI","Bachelor","","5","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Gar nicht","Manchmal","Immer","Oft","Immer","Manchmal","Immer","Immer","Immer","Stimme eher zu","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Neutral","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Neutral","Stimme eher nicht zu","Tolle Umfrage 👍"
"111","1980-01-01 00:00:00","6","de","685352335","","","","","","3","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","","","Immer","Selten","Oft","Selten","","Manchmal","Oft","Stimme eher nicht zu","Stimme eher zu","Neutral","Stimme eher zu","Neutral","Neutral","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Neutral","Wusste nur nicht genau was mit Skript bei Materialien gemeint wurde. "
"112","1980-01-01 00:00:00","6","de","1576777486","Eher zufrieden","Sonstiges","Sachunterricht ","Bachelor","","3","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme voll und ganz zu","Oft","Immer","Immer","Selten","Immer","Gar nicht","Immer","Selten","Immer","Neutral","Stimme voll und ganz zu","Neutral","Stimme eher zu","Stimme eher zu","Neutral","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu",""
"113","1980-01-01 00:00:00","6","de","882887968","Eher unzufrieden","Sonstiges","Erziehungswissenschaften","Bachelor","","7","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme eher zu","Gar nicht","Oft","Oft","Gar nicht","Immer","Manchmal","Immer","Oft","Manchmal","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Neutral","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","War gut und angemessen. Schön kurz aber dich bereit gefächert"
"114","1980-01-01 00:00:00","6","de","1598567221","Sehr unzufrieden","Statistik","","Bachelor","","3","Stimme voll und ganz zu","Stimme voll und ganz zu","Neutral","Stimme voll und ganz zu","Stimme voll und ganz zu","Immer","Manchmal","Gar nicht","Manchmal","Immer","Gar nicht","Immer","Oft","Oft","","Neutral","Neutral","Neutral","Stimme eher zu","Stimme eher zu","Neutral","Stimme überhaupt nicht zu","Neutral","Neutral","Neutral","Neutral",""
"115","1980-01-01 00:00:00","6","de","1952981541","Eher unzufrieden","Informatik","","Bachelor","","3","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Oft","Oft","Immer","Oft","Immer","Selten","Oft","Immer","Immer","Neutral","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme voll und ganz zu","Neutral","Neutral","Stimme eher nicht zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Stimme eher zu",""
"116","1980-01-01 00:00:00","6","de","1386100003","Sehr unzufrieden","Statistik","","Bachelor","","7","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Selten","Immer","Oft","Manchmal","Immer","Selten","Gar nicht","Selten","Manchmal","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu",""
"117",,,"de","422515667","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"118",,,"de","1074191594","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"119",,"1","de","889356847","Neutral","Physik","","Bachelor","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",
"120",,,"de","520412327","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"121","1980-01-01 00:00:00","6","de","1623891741","Sehr zufrieden","Sonstiges","Maschinenbau","Master","","2","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Manchmal","Selten","Manchmal","Oft","Immer","Gar nicht","Immer","Oft","Oft","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Neutral","Stimme voll und ganz zu",""
"122","1980-01-01 00:00:00","6","de","1581942410","Eher zufrieden","Sonstiges","Wirtschafts- und Sozialwissenschaften","Master","","3","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Immer","Oft","Immer","Immer","Immer","Oft","Gar nicht","Selten","Selten","Stimme eher zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","""Eigene Lernmaterialien"" fehlen. Ich schneide einige Vorlesungen per Audiorekorder mit. 
Außerdem ist mir der Begriff ""Kurzskript"" nicht bekannt. Sind Vorlesungsfolien gemeint? "
"123","1980-01-01 00:00:00","6","de","1724464310","Sehr zufrieden","Mathematik","","Master","","2","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Neutral","Stimme eher zu","Manchmal","Selten","Manchmal","Manchmal","Oft","Manchmal","Immer","Oft","Oft","Neutral","Neutral","Neutral","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Gute Umfrage "
"124","1980-01-01 00:00:00","6","de","361401068","Neutral","Mathematik","","Master","","1","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Manchmal","Manchmal","Manchmal","Manchmal","Immer","Selten","Immer","Oft","Immer","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu","Neutral","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu",""
"125","1980-01-01 00:00:00","6","de","1492532756","Neutral","Sonstiges","Wirtschaftswissenschaften","Bachelor","","1","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","Stimme voll und ganz zu","Selten","Oft","Immer","Oft","Immer","Manchmal","Oft","Manchmal","Oft","Stimme eher nicht zu","Stimme voll und ganz zu","Neutral","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher nicht zu","Neutral","Stimme eher nicht zu","Stimme eher zu","Neutral","/"
